date,consumption
1622523600000,26
1622527200000,70
1622530800000,44
1622534400000,14
1622538000000,79
1622541600000,38
1622545200000,86
1622548800000,67
1622552400000,49
1622556000000,27
1622559600000,72
1622563200000,87
1622566800000,63
1622570400000,39
1622574000000,43
1622577600000,55
1622581200000,41
1622584800000,58
1622588400000,66
1622592000000,18
1622595600000,78
1622599200000,33
1622602800000,18
1622606400000,56
1622610000000,36
1622613600000,22
1622617200000,96
1622620800000,29
1622624400000,48
1622628000000,79
1622631600000,55
1622635200000,60
1622638800000,27
1622642400000,60
1622646000000,80
1622649600000,29
1622653200000,3
1622656800000,35
1622660400000,74
1622664000000,43
1622667600000,7
1622671200000,26
1622674800000,91
1622678400000,13
1622682000000,80
1622685600000,42
1622689200000,68
1622692800000,91
1622696400000,95
1622700000000,75
1622703600000,70
1622707200000,17
1622710800000,6
1622714400000,64
1622718000000,22
1622721600000,15
1622725200000,49
1622728800000,42
1622732400000,31
1622736000000,64
1622739600000,17
1622743200000,84
1622746800000,55
1622750400000,24
1622754000000,51
1622757600000,83
1622761200000,40
1622764800000,29
1622768400000,18
1622772000000,92
1622775600000,25
1622779200000,25
1622782800000,7
1622786400000,71
1622790000000,56
1622793600000,69
1622797200000,70
1622800800000,55
1622804400000,92
1622808000000,80
1622811600000,41
1622815200000,83
1622818800000,10
