date,consumption
1619845200000,47
1619848800000,83
1619852400000,19
1619856000000,27
1619859600000,28
1619863200000,63
1619866800000,14
1619870400000,68
1619874000000,43
1619877600000,22
1619881200000,8
1619884800000,6
1619888400000,59
1619892000000,23
1619895600000,44
1619899200000,59
1619902800000,8
1619906400000,76
1619910000000,63
1619913600000,50
1619917200000,32
1619920800000,85
1619924400000,39
1619928000000,64
1619931600000,16
1619935200000,74
1619938800000,79
1619942400000,17
1619946000000,75
1619949600000,78
1619953200000,8
1619956800000,29
1619960400000,4
1619964000000,96
1619967600000,99
1619971200000,56
1619974800000,12
1619978400000,88
1619982000000,52
1619985600000,26
1619989200000,47
1619992800000,94
1619996400000,9
1620000000000,93
1620003600000,86
1620007200000,46
1620010800000,41
1620014400000,27
1620018000000,54
1620021600000,28
1620025200000,32
1620028800000,20
1620032400000,91
1620036000000,46
1620039600000,32
1620043200000,95
1620046800000,46
1620050400000,43
1620054000000,31
1620057600000,16
1620061200000,38
1620064800000,90
1620068400000,29
1620072000000,71
1620075600000,1
1620079200000,86
1620082800000,37
1620086400000,30
1620090000000,32
1620093600000,51
1620097200000,38
1620100800000,60
1620104400000,94
1620108000000,49
1620111600000,65
1620115200000,78
1620118800000,26
1620122400000,61
1620126000000,11
1620129600000,66
1620133200000,74
1620136800000,2
1620140400000,34
1620144000000,14
1620147600000,80
1620151200000,43
1620154800000,74
1620158400000,78
1620162000000,6
1620165600000,96
1620169200000,38
1620172800000,35
1620176400000,76
1620180000000,91
1620183600000,13
1620187200000,38
1620190800000,95
1620194400000,69
1620198000000,34
1620201600000,61
1620205200000,70
1620208800000,98
1620212400000,3
1620216000000,61
1620219600000,93
1620223200000,55
1620226800000,47
1620230400000,23
1620234000000,92
1620237600000,30
1620241200000,37
1620244800000,81
1620248400000,7
1620252000000,16
1620255600000,31
1620259200000,8
1620262800000,63
1620266400000,42
1620270000000,24
1620273600000,19
1620277200000,94
1620280800000,25
1620284400000,2
1620288000000,98
1620291600000,63
1620295200000,29
1620298800000,84
1620302400000,43
1620306000000,22
1620309600000,73
1620313200000,10
1620316800000,98
1620320400000,94
1620324000000,5
1620327600000,86
1620331200000,25
1620334800000,1
1620338400000,2
1620342000000,30
1620345600000,66
1620349200000,24
1620352800000,11
1620356400000,37
1620360000000,77
1620363600000,85
1620367200000,1
1620370800000,31
1620374400000,88
1620378000000,64
1620381600000,23
1620385200000,38
1620388800000,16
1620392400000,40
1620396000000,33
1620399600000,85
1620403200000,75
1620406800000,79
1620410400000,4
1620414000000,55
1620417600000,65
1620421200000,82
1620424800000,13
1620428400000,5
1620432000000,62
1620435600000,59
1620439200000,23
1620442800000,7
1620446400000,3
1620450000000,55
1620453600000,51
1620457200000,22
1620460800000,47
1620464400000,92
1620468000000,30
1620471600000,17
1620475200000,11
1620478800000,70
1620482400000,50
1620486000000,37
1620489600000,41
1620493200000,56
1620496800000,7
1620500400000,20
1620504000000,83
1620507600000,81
1620511200000,49
1620514800000,75
1620518400000,2
1620522000000,85
1620525600000,4
1620529200000,93
1620532800000,55
1620536400000,10
1620540000000,11
1620543600000,2
1620547200000,57
1620550800000,87
1620554400000,55
1620558000000,94
1620561600000,56
1620565200000,21
1620568800000,30
1620572400000,9
1620576000000,43
1620579600000,11
1620583200000,93
1620586800000,42
1620590400000,72
1620594000000,15
1620597600000,79
1620601200000,55
1620604800000,62
1620608400000,28
1620612000000,100
1620615600000,58
1620619200000,83
1620622800000,75
1620626400000,52
1620630000000,61
1620633600000,87
1620637200000,69
1620640800000,57
1620644400000,20
1620648000000,34
1620651600000,64
1620655200000,56
1620658800000,68
1620662400000,13
1620666000000,61
1620669600000,68
1620673200000,6
1620676800000,43
1620680400000,73
1620684000000,56
1620687600000,36
1620691200000,85
1620694800000,12
1620698400000,51
1620702000000,43
1620705600000,15
1620709200000,3
1620712800000,91
1620716400000,77
1620720000000,11
1620723600000,73
1620727200000,23
1620730800000,84
1620734400000,56
1620738000000,11
1620741600000,76
1620745200000,82
1620748800000,21
1620752400000,3
1620756000000,66
1620759600000,71
1620763200000,20
1620766800000,69
1620770400000,10
1620774000000,94
1620777600000,68
1620781200000,96
1620784800000,100
1620788400000,12
1620792000000,13
1620795600000,88
1620799200000,28
1620802800000,97
1620806400000,98
1620810000000,69
1620813600000,9
1620817200000,44
1620820800000,86
1620824400000,62
1620828000000,81
1620831600000,37
1620835200000,68
1620838800000,95
1620842400000,21
1620846000000,34
1620849600000,37
1620853200000,74
1620856800000,36
1620860400000,35
1620864000000,50
1620867600000,65
1620871200000,34
1620874800000,22
1620878400000,66
1620882000000,78
1620885600000,21
1620889200000,89
1620892800000,23
1620896400000,25
1620900000000,100
1620903600000,33
1620907200000,60
1620910800000,30
1620914400000,40
1620918000000,99
1620921600000,89
1620925200000,4
1620928800000,10
1620932400000,67
1620936000000,55
1620939600000,54
1620943200000,98
1620946800000,91
1620950400000,30
1620954000000,71
1620957600000,28
1620961200000,2
1620964800000,60
1620968400000,27
1620972000000,63
1620975600000,77
1620979200000,11
1620982800000,52
1620986400000,68
1620990000000,82
1620993600000,26
1620997200000,11
1621000800000,86
1621004400000,44
1621008000000,13
1621011600000,94
1621015200000,39
1621018800000,27
1621022400000,88
1621026000000,1
1621029600000,76
1621033200000,5
1621036800000,78
1621040400000,33
1621044000000,74
1621047600000,71
1621051200000,17
1621054800000,9
1621058400000,61
1621062000000,69
1621065600000,18
1621069200000,82
1621072800000,31
1621076400000,38
1621080000000,6
1621083600000,59
1621087200000,82
1621090800000,25
1621094400000,28
1621098000000,9
1621101600000,57
1621105200000,59
1621108800000,53
1621112400000,59
1621116000000,42
1621119600000,25
1621123200000,47
1621126800000,38
1621130400000,100
1621134000000,66
1621137600000,40
1621141200000,100
1621144800000,17
1621148400000,46
1621152000000,49
1621155600000,67
1621159200000,56
1621162800000,8
1621166400000,23
1621170000000,35
1621173600000,32
1621177200000,87
1621180800000,67
1621184400000,93
1621188000000,91
1621191600000,37
1621195200000,43
1621198800000,46
1621202400000,94
1621206000000,8
1621209600000,22
1621213200000,51
1621216800000,36
1621220400000,46
1621224000000,71
1621227600000,29
1621231200000,76
1621234800000,76
1621238400000,73
1621242000000,82
1621245600000,68
1621249200000,29
1621252800000,18
1621256400000,34
1621260000000,37
1621263600000,48
1621267200000,83
1621270800000,48
1621274400000,47
1621278000000,67
1621281600000,10
1621285200000,40
1621288800000,56
1621292400000,99
1621296000000,47
1621299600000,13
1621303200000,68
1621306800000,28
1621310400000,51
1621314000000,43
1621317600000,80
1621321200000,77
1621324800000,82
1621328400000,20
1621332000000,13
1621335600000,29
1621339200000,82
1621342800000,10
1621346400000,39
1621350000000,77
1621353600000,30
1621357200000,74
1621360800000,91
1621364400000,41
1621368000000,29
1621371600000,70
1621375200000,88
1621378800000,22
1621382400000,42
1621386000000,23
1621389600000,45
1621393200000,15
1621396800000,18
1621400400000,65
1621404000000,88
1621407600000,73
1621411200000,41
1621414800000,11
1621418400000,6
1621422000000,76
1621425600000,54
1621429200000,39
1621432800000,80
1621436400000,49
1621440000000,66
1621443600000,92
1621447200000,75
1621450800000,96
1621454400000,79
1621458000000,27
1621461600000,6
1621465200000,60
1621468800000,44
1621472400000,83
1621476000000,94
1621479600000,69
1621483200000,26
1621486800000,40
1621490400000,55
1621494000000,20
1621497600000,51
1621501200000,29
1621504800000,71
1621508400000,74
1621512000000,56
1621515600000,33
1621519200000,19
1621522800000,50
1621526400000,97
1621530000000,75
1621533600000,90
1621537200000,81
1621540800000,59
1621544400000,45
1621548000000,61
1621551600000,87
1621555200000,45
1621558800000,42
1621562400000,67
1621566000000,47
1621569600000,61
1621573200000,92
1621576800000,8
1621580400000,33
1621584000000,39
1621587600000,11
1621591200000,67
1621594800000,17
1621598400000,33
1621602000000,16
1621605600000,19
1621609200000,75
1621612800000,54
1621616400000,46
1621620000000,20
1621623600000,20
1621627200000,88
1621630800000,39
1621634400000,18
1621638000000,20
1621641600000,63
1621645200000,2
1621648800000,73
1621652400000,60
1621656000000,66
1621659600000,19
1621663200000,8
1621666800000,57
1621670400000,38
1621674000000,62
1621677600000,18
1621681200000,24
1621684800000,90
1621688400000,79
1621692000000,94
1621695600000,33
1621699200000,21
1621702800000,96
1621706400000,40
1621710000000,23
1621713600000,79
1621717200000,87
1621720800000,80
1621724400000,13
1621728000000,1
1621731600000,78
1621735200000,9
1621738800000,69
1621742400000,78
1621746000000,27
1621749600000,89
1621753200000,90
1621756800000,86
