date,consumption
1622523600000,75
1622527200000,75
1622530800000,75
1622534400000,75
1622538000000,75
1622541600000,75
1622545200000,75
1622548800000,75
1622552400000,75
1622556000000,75
1622559600000,75
1622563200000,75
1622566800000,75
1622570400000,75
1622574000000,75
1622577600000,75
1622581200000,75
1622584800000,75
1622588400000,75
1622592000000,75
1622595600000,75
1622599200000,75
1622602800000,75
1622606400000,75
1622610000000,75
1622613600000,75
1622617200000,75
1622620800000,75
1622624400000,75
1622628000000,75
1622631600000,75
1622635200000,75
1622638800000,75
1622642400000,75
1622646000000,75
1622649600000,75
1622653200000,75
1622656800000,75
1622660400000,75
1622664000000,75
1622667600000,75
1622671200000,75
1622674800000,75
1622678400000,75
1622682000000,75
1622685600000,75
1622689200000,75
1622692800000,75
1622696400000,75
1622700000000,75
1622703600000,75
1622707200000,75
1622710800000,75
1622714400000,75
1622718000000,75
1622721600000,75
1622725200000,75
1622728800000,75
1622732400000,75
1622736000000,75
1622739600000,75
1622743200000,75
1622746800000,75
1622750400000,75
1622754000000,75
1622757600000,75
1622761200000,75
1622764800000,75
1622768400000,75
1622772000000,75
1622775600000,75
1622779200000,75
1622782800000,75
1622786400000,75
1622790000000,75
1622793600000,75
1622797200000,75
1622800800000,75
1622804400000,75
1622808000000,75
1622811600000,75
1622815200000,75
1622818800000,75
1622822400000,75
1622826000000,75
1622829600000,75
1622833200000,75
1622836800000,75
1622840400000,75
1622844000000,75
1622847600000,75
1622851200000,75
1622854800000,75
1622858400000,75
1622862000000,75
1622865600000,75
1622869200000,75
1622872800000,75
1622876400000,75
1622880000000,75
1622883600000,75
1622887200000,75
1622890800000,75
1622894400000,75
1622898000000,75
1622901600000,75
1622905200000,75
1622908800000,75
1622912400000,75
1622916000000,75
1622919600000,75
1622923200000,75
1622926800000,75
1622930400000,75
1622934000000,75
1622937600000,75
1622941200000,75
1622944800000,75
1622948400000,75
1622952000000,75
1622955600000,75
1622959200000,75
1622962800000,75
1622966400000,75
1622970000000,75
1622973600000,75
1622977200000,75
1622980800000,75
1622984400000,75
1622988000000,75
1622991600000,75
1622995200000,75
1622998800000,75
1623002400000,75
1623006000000,75
1623009600000,75
1623013200000,75
1623016800000,75
1623020400000,75
1623024000000,75
1623027600000,75
1623031200000,75
1623034800000,75
1623038400000,75
1623042000000,75
1623045600000,75
1623049200000,75
1623052800000,75
1623056400000,75
1623060000000,75
1623063600000,75
1623067200000,75
1623070800000,75
1623074400000,75
1623078000000,75
1623081600000,75
1623085200000,75
1623088800000,75
1623092400000,75
1623096000000,75
1623099600000,75
1623103200000,75
1623106800000,75
1623110400000,75
1623114000000,75
1623117600000,75
1623121200000,75
1623124800000,75
1623128400000,75
1623132000000,75
1623135600000,75
1623139200000,75
1623142800000,75
1623146400000,75
1623150000000,75
1623153600000,75
1623157200000,75
1623160800000,75
1623164400000,75
1623168000000,75
1623171600000,75
1623175200000,75
1623178800000,75
1623182400000,75
1623186000000,75
1623189600000,75
1623193200000,75
1623196800000,75
1623200400000,75
1623204000000,75
1623207600000,75
1623211200000,75
1623214800000,75
1623218400000,75
1623222000000,75
1623225600000,75
1623229200000,75
1623232800000,75
1623236400000,75
1623240000000,75
1623243600000,75
1623247200000,75
1623250800000,75
1623254400000,75
1623258000000,75
1623261600000,75
1623265200000,75
1623268800000,75
1623272400000,75
1623276000000,75
1623279600000,75
1623283200000,75
1623286800000,75
1623290400000,75
1623294000000,75
1623297600000,75
1623301200000,75
1623304800000,75
1623308400000,75
1623312000000,75
1623315600000,75
1623319200000,75
1623322800000,75
1623326400000,75
1623330000000,75
1623333600000,75
1623337200000,75
1623340800000,75
1623344400000,75
1623348000000,75
1623351600000,75
1623355200000,75
1623358800000,75
1623362400000,75
1623366000000,75
1623369600000,75
1623373200000,75
1623376800000,75
1623380400000,75
1623384000000,75
1623387600000,75
1623391200000,75
1623394800000,75
1623398400000,75
1623402000000,75
1623405600000,75
1623409200000,75
1623412800000,75
1623416400000,75
1623420000000,75
1623423600000,75
1623427200000,75
1623430800000,75
1623434400000,75
1623438000000,75
1623441600000,75
1623445200000,75
1623448800000,75
1623452400000,75
1623456000000,75
1623459600000,75
1623463200000,75
1623466800000,75
1623470400000,75
1623474000000,75
1623477600000,75
1623481200000,75
1623484800000,75
1623488400000,75
1623492000000,75
1623495600000,75
1623499200000,75
1623502800000,75
1623506400000,75
1623510000000,75
1623513600000,75
1623517200000,75
1623520800000,75
1623524400000,75
1623528000000,75
1623531600000,75
1623535200000,75
1623538800000,75
1623542400000,75
1623546000000,75
1623549600000,75
1623553200000,75
1623556800000,75
1623560400000,75
1623564000000,75
1623567600000,75
1623571200000,75
1623574800000,75
1623578400000,75
1623582000000,75
1623585600000,75
1623589200000,75
1623592800000,75
1623596400000,75
1623600000000,75
1623603600000,75
1623607200000,75
1623610800000,75
1623614400000,75
1623618000000,75
1623621600000,75
1623625200000,75
1623628800000,75
1623632400000,75
1623636000000,75
1623639600000,75
1623643200000,75
1623646800000,75
1623650400000,75
1623654000000,75
1623657600000,75
1623661200000,75
1623664800000,75
1623668400000,75
1623672000000,75
1623675600000,75
1623679200000,75
1623682800000,75
1623686400000,75
1623690000000,75
1623693600000,75
1623697200000,75
1623700800000,75
1623704400000,75
1623708000000,75
1623711600000,75
1623715200000,75
1623718800000,75
1623722400000,75
1623726000000,75
1623729600000,75
1623733200000,75
1623736800000,75
1623740400000,75
1623744000000,75
1623747600000,75
1623751200000,75
1623754800000,75
1623758400000,75
1623762000000,75
1623765600000,75
1623769200000,75
1623772800000,75
1623776400000,75
1623780000000,75
1623783600000,75
1623787200000,75
1623790800000,75
1623794400000,75
1623798000000,75
1623801600000,75
1623805200000,75
1623808800000,75
1623812400000,75
1623816000000,75
1623819600000,75
1623823200000,75
1623826800000,75
1623830400000,75
1623834000000,75
1623837600000,75
1623841200000,75
1623844800000,75
1623848400000,75
1623852000000,75
1623855600000,75
1623859200000,75
1623862800000,75
1623866400000,75
1623870000000,75
1623873600000,75
1623877200000,75
1623880800000,75
1623884400000,75
1623888000000,75
1623891600000,75
1623895200000,75
1623898800000,75
1623902400000,75
1623906000000,75
1623909600000,75
1623913200000,75
1623916800000,75
1623920400000,75
1623924000000,75
1623927600000,75
1623931200000,75
1623934800000,75
1623938400000,75
1623942000000,75
1623945600000,75
1623949200000,75
1623952800000,75
1623956400000,75
1623960000000,75
1623963600000,75
1623967200000,75
1623970800000,75
1623974400000,75
1623978000000,75
1623981600000,75
1623985200000,75
1623988800000,75
1623992400000,75
1623996000000,75
1623999600000,75
1624003200000,75
1624006800000,75
1624010400000,75
1624014000000,75
1624017600000,75
1624021200000,75
1624024800000,75
1624028400000,75
1624032000000,75
1624035600000,75
1624039200000,75
1624042800000,75
1624046400000,75
1624050000000,75
1624053600000,75
1624057200000,75
1624060800000,75
1624064400000,75
1624068000000,75
1624071600000,75
1624075200000,75
1624078800000,75
1624082400000,75
1624086000000,75
1624089600000,75
1624093200000,75
1624096800000,75
1624100400000,75
1624104000000,75
1624107600000,75
1624111200000,75
1624114800000,75
1624118400000,75
1624122000000,75
1624125600000,75
1624129200000,75
1624132800000,75
1624136400000,75
1624140000000,75
1624143600000,75
1624147200000,75
1624150800000,75
1624154400000,75
1624158000000,75
1624161600000,75
1624165200000,75
1624168800000,75
1624172400000,75
1624176000000,75
1624179600000,75
1624183200000,75
1624186800000,75
1624190400000,75
1624194000000,75
1624197600000,75
1624201200000,75
1624204800000,75
1624208400000,75
1624212000000,75
1624215600000,75
1624219200000,75
1624222800000,75
1624226400000,75
1624230000000,75
1624233600000,75
1624237200000,75
1624240800000,75
1624244400000,75
1624248000000,75
1624251600000,75
1624255200000,75
1624258800000,75
1624262400000,75
1624266000000,75
1624269600000,75
1624273200000,75
1624276800000,75
1624280400000,75
1624284000000,75
1624287600000,75
1624291200000,75
1624294800000,75
1624298400000,75
1624302000000,75
1624305600000,75
1624309200000,75
1624312800000,75
1624316400000,75
1624320000000,75
1624323600000,75
1624327200000,75
1624330800000,75
1624334400000,75
1624338000000,75
1624341600000,75
1624345200000,75
1624348800000,75
1624352400000,75
1624356000000,75
1624359600000,75
1624363200000,75
1624366800000,75
1624370400000,75
1624374000000,75
1624377600000,75
1624381200000,75
1624384800000,75
1624388400000,75
1624392000000,75
1624395600000,75
1624399200000,75
1624402800000,75
1624406400000,75
1624410000000,75
1624413600000,75
1624417200000,75
1624420800000,75
1624424400000,75
1624428000000,75
1624431600000,75
1624435200000,75
1624438800000,75
1624442400000,75
1624446000000,75
1624449600000,75
1624453200000,75
1624456800000,75
1624460400000,75
1624464000000,75
1624467600000,75
1624471200000,75
1624474800000,75
1624478400000,75
1624482000000,75
1624485600000,75
1624489200000,75
1624492800000,75
1624496400000,75
1624500000000,75
1624503600000,75
1624507200000,75
1624510800000,75
1624514400000,75
1624518000000,75
1624521600000,75
1624525200000,75
1624528800000,75
1624532400000,75
1624536000000,75
1624539600000,75
1624543200000,75
1624546800000,75
1624550400000,75
1624554000000,75
1624557600000,75
1624561200000,75
1624564800000,75
1624568400000,75
1624572000000,75
1624575600000,75
1624579200000,75
1624582800000,75
1624586400000,75
1624590000000,75
1624593600000,75
1624597200000,75
1624600800000,75
1624604400000,75
1624608000000,75
1624611600000,75
1624615200000,75
1624618800000,75
1624622400000,75
1624626000000,75
1624629600000,75
1624633200000,75
1624636800000,75
1624640400000,75
1624644000000,75
1624647600000,75
1624651200000,75
1624654800000,75
1624658400000,75
1624662000000,75
1624665600000,75
1624669200000,75
1624672800000,75
1624676400000,75
1624680000000,75
1624683600000,75
1624687200000,75
1624690800000,75
1624694400000,75
1624698000000,75
1624701600000,75
1624705200000,75
1624708800000,75
1624712400000,75
1624716000000,75
1624719600000,75
1624723200000,75
1624726800000,75
1624730400000,75
1624734000000,75
1624737600000,75
1624741200000,75
1624744800000,75
1624748400000,75
1624752000000,75
1624755600000,75
1624759200000,75
1624762800000,75
1624766400000,75
1624770000000,75
1624773600000,75
1624777200000,75
1624780800000,75
1624784400000,75
1624788000000,75
1624791600000,75
1624795200000,75
1624798800000,75
1624802400000,75
1624806000000,75
1624809600000,75
1624813200000,75
1624816800000,75
1624820400000,75
1624824000000,75
1624827600000,75
1624831200000,75
1624834800000,75
1624838400000,75
1624842000000,75
1624845600000,75
1624849200000,75
1624852800000,75
1624856400000,75
1624860000000,75
1624863600000,75
1624867200000,75
1624870800000,75
1624874400000,75
1624878000000,75
1624881600000,75
1624885200000,75
1624888800000,75
1624892400000,75
1624896000000,75
1624899600000,75
1624903200000,75
1624906800000,75
1624910400000,75
1624914000000,75
1624917600000,75
1624921200000,75
1624924800000,75
1624928400000,75
1624932000000,75
1624935600000,75
1624939200000,75
1624942800000,75
1624946400000,75
1624950000000,75
1624953600000,75
1624957200000,75
1624960800000,75
1624964400000,75
1624968000000,75
1624971600000,75
1624975200000,75
1624978800000,75
1624982400000,75
1624986000000,75
1624989600000,75
1624993200000,75
1624996800000,75
1625000400000,75
1625004000000,75
1625007600000,75
1625011200000,75
1625014800000,75
1625018400000,75
1625022000000,75
1625025600000,75
1625029200000,75
1625032800000,75
1625036400000,75
1625040000000,75
1625043600000,75
1625047200000,75
1625050800000,75
1625054400000,75
1625058000000,75
1625061600000,75
1625065200000,75
1625068800000,75
1625072400000,75
1625076000000,75
1625079600000,75
1625083200000,75
1625086800000,75
1625090400000,75
1625094000000,75
1625097600000,75
1625101200000,75
1625104800000,75
1625108400000,75
1625112000000,75
